Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mirtillo, crudo",Frutta/Frutta fresca,,per 100 g di parte edibile,245,58,0.5,tr.,tr.,tr.,0,11.3,11.3,0,3,0.6,0,0,83,5,3,0,33,27,0.03,0.03,0.05,0,0.4,6,0.1,20,0,1.9,68,2,5,9,4,11,0.5,1,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mora, cruda",Frutta/Frutta fresca,,per 100 g di parte edibile,185,44,0.4,tr.,0.2,0.2,0,6.2,6.2,0,6,1,0,0,85,16,8,0,95,78,0.02,0.05,0.04,0,0.53,23,0.21,13.4,0,4,200,3,20,30,22,30,1,0.4,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadella,Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1300,314,27.3,10.2,12.4,2.8,75,0.8,0.8,0,0,16.1,2.1,0,55.7,5,5,5,0,0,0.37,0.12,0.2,1.08,3.05,3.1,0.49,25.5,0,0.42,100,840,1240,3.9,13,170,0.9,1.5,1.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozzarella,Latte e prodotti di latte/Formaggio fresco e quark;Latte e prodotti di latte/Formaggio a pasta molle,,per 100 g di parte edibile,1060,256,19.5,11.4,6,0.7,46,0.7,0.7,0,0,19.5,0.4,0,58.8,205,194,183,130,130,0.03,0.27,0.07,1.4,0.4,16,0.14,0,0.3,0.39,8,140,810,340,10,350,0.1,4.8,2.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nasello, crudo",Pesce/Pesci di mare,,per 100 g di parte edibile,300,71,0.3,0.1,0.1,0.1,50,0,0,0,0,17,0.2,0,81.5,0,0,tr.,0,0,0.05,0.08,0.18,2.1,2.2,12,0.19,1.5,tr.,0.19,320,77,240,25,25,190,0.7,120,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nasi Goreng, preparato",Cibi/Cibi asiatici,,per 100 g di parte edibile,527,125,1.8,0.3,1.1,0.3,23,16.1,0.7,13.5,0.5,10.8,1.3,0,70.9,31,16,2,173,173,0.11,0.06,0.18,0.07,4.07,4.3,0.4,11,0.4,0.29,170,510,780,18,17,120,0.3,1.3,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nettare d'arancia,Bevande analcoliche/Bevande zuccherate;Bevande analcoliche/Succhi di frutta e di verdura,1,per 100 ml,185,44,0,tr.,tr.,tr.,0,10.5,10.5,0,0.1,0.4,0,0,88.2,7,3,0,40,40,0.04,0.01,0.02,0,0.14,12,0.08,12,0,0.1,110,1,3,6,7,10,0.1,2,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nocciole,"Noci, semi e frutti oleosi",,per 100 g di parte edibile,2730,661,59.5,4.2,46.6,6.1,0,10.1,3,0.3,9.7,16.4,0,0,4,0,0,0,0,0,0.46,0.05,0.5,0,1.32,76.6,1.61,2,0,18.1,720,0.9,11,160,160,320,3.6,6.5,2.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noce del Brasile,"Noci, semi e frutti oleosi",,per 100 g di parte edibile,2880,698,66.5,16.1,23.9,24.4,0,4.2,2.3,0.3,7.5,17,0,0,3.4,0,0,0,0,0,0.62,0.04,0.1,0,0.3,22,0.18,0.7,0,5.65,640,0.7,55,160,350,650,2.4,5,4.3,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noce di cocco,"Noci, semi e frutti oleosi",,per 100 g di parte edibile,1580,384,36.5,32.1,2.2,0.7,0,4.8,4.8,0,9,4.6,0.1,0,43.9,0,0,0,0,0,0.06,0.01,0.06,0,0.38,30,0.2,2,0,0.7,380,35,120,20,39,94,2.3,1.2,0.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noce di cocco, secca ","Noci, semi e frutti oleosi",,per 100 g di parte edibile,2800,681,65.2,61.6,3,0.5,0,8.4,6.6,0,14.8,7.6,0,0,3.3,0,0,0,0,0,0.03,0,0.09,0,0.6,20.6,0,0,0,0,710,19,240,11,100,180,2.8,6,1.5,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noci,"Noci, semi e frutti oleosi",,per 100 g di parte edibile,2930,709,67.3,6.5,14.1,43.6,0,6.9,3,<0,6.7,15.7,0,0,4,3,2,0,21,21,0.42,0.05,0.19,0,0.4,112.1,1.39,0.8,0,3.72,420,0.2,23,78,140,360,2.6,<5,2.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio d'oliva,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,10.7,67.7,6.7,0,0,0,0,0,0,0,0,0,13,7,0,79,79,0,0,0,0,0,0,0,0,0,27.84,0.9,0.9,90,0,0.9,1.8,0.1,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di arachidi,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,14.9,44.6,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.06,0,0,0.9,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di canapa,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,8.9,11.4,65,0,0,0,0,0,0,0,0,0,11,5,0,64,0,0,0,0,0,0,0,0,0,0,8.37,0,0,nd,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di cartamo,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,8.5,9.9,68,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di colza,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,6.5,53.7,24.2,0,0,0,0,0,0,0,0,0,3,2,0,19,13,0,0,0,0,0,0,0,0,0,30.01,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olio di colza HOLL (high oleic, low linolenic)",Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,6.3,68.4,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di germi di grano,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,15.7,12.6,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.99,0,0,0.9,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olio di girasole HO, raffinato",Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,6.3,67.5,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di noce,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,9,15.1,62.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di semi di girasole,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,9.8,27.7,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.75,0.9,0.9,0.9,0.9,0,0,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olio di semi di lino, spremuto a freddo",Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,8.6,17.1,60.3,0,0,0,0,0,0,0,0,0,38,19,0,226,189,0,0,0,0,0,0,0,0,0,5.07,0,0,0,0.9,0,0.9,0,0,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di semi di mais,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,11,24.8,49.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di semi di zucca,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,14.8,25.6,44.5,0,0,0,0,0,0,0,0,0,700,350,0,4198,4198,0,0,0,0,0,0,0,0,0,12.07,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di soia,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,13.2,19.9,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olio di vinaccioli,Grassi e oli/Oli,0.9,per 100 ml,3330,810,90,10.1,16.7,58.8,0,0,0,0,0,0,0,0,0,5,3,0,31,0,0,0,0,0,0,0,0,0,0,19.66,0.9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oliva, verde, in salamoia, sgocciolata","Noci, semi e frutti oleosi",,per 100 g di parte edibile,632,154,15.7,2.3,11.1,1.5,0,tr.,tr.,0,3.6,1.3,3.2,0,75.8,4,2,0,27,27,<0.02,<0.01,0.02,0,<0.1,<5,0.04,<0.5,<0.3,5.23,31,1260,1760,58,24,6.7,0.2,2,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive farcite e fritte all'ascolana,Snack salati/Altri snack salati,,per 100 g di parte edibile,1370,328,15.1,3.2,9.1,1.8,47,32.8,2.1,30.6,3.2,13.1,1.5,0.4,35.9,81,53,24,340,340,0.14,0.09,0.12,0.38,0.93,19.5,0.56,3.3,0.6,2.3,180,600,950,120,25,130,1.1,8.1,1.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olive, nere","Noci, semi e frutti oleosi",,per 100 g di parte edibile,722,176,17.2,2.1,10.2,1.5,0,0.8,0.8,0,6.2,1.4,1.8,0,74.9,44,22,0,265,265,0.02,<0.01,0.03,0,<0.1,<5,0.04,<0.5,0,6.1,19,710,1070,80,16,7.9,8.5,4.5,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette francese al formaggio, preparato",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,796,192,14.5,6.4,4.4,1.5,275,1.2,1.2,0,0.1,14,1,0,70.1,172,163,154,106,106,0.07,0.3,0.08,1.14,0.11,38.4,1.46,2,1.4,1.01,160,380,540,210,17,260,1.4,32,1.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette francese al lardo, preparato",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,729,175,13.4,4.8,5.1,1.6,268,1.3,1.3,0,0.1,12.5,0.7,0,72.8,123,115,108,87,87,0.14,0.26,0.09,0.95,0.62,37.3,1.46,5.5,1.3,1,180,280,430,64,14,180,1.4,30,1.3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette francese al prosciutto, preparato",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,596,143,9.6,3.3,3.3,1.3,266,1.3,1.3,0,0.1,12.8,1,0,76.2,122,115,107,87,87,0.16,0.27,0.1,0.91,0.94,37,1.47,10.8,1.3,0.98,210,420,600,65,15,210,1.5,31,1.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette francese, preparato",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,627,151,11.1,3.8,3.8,1.5,310,1.4,1.4,0,0,11.4,0.8,0,76.1,129,129,128,9,9,0.08,0.28,0.07,1.08,0.07,41.5,1.64,0.2,1.5,1.1,170,340,470,70,13,190,1.5,36,1.1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette tipo crêpes"" ai funghi prataiolo, preparato""",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,522,125,6.2,3.1,1.6,0.6,63,10.9,1.3,9.2,1.5,5.7,0.6,0,76.5,62,59,56,39,39,0.08,0.3,0.07,0.2,2.08,19.7,1.36,2.1,1.3,0.34,270,230,380,35,12,110,0.9,17,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette tipo crêpes"" al formaggio, preparato""",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,814,194,8.9,4.4,2.4,0.9,111,18.2,1.3,16.8,0.8,10,0.9,0,62.3,87,85,83,20,20,0.06,0.17,0.05,0.53,0.22,16.3,0.68,0.2,0.6,0.44,130,360,550,150,13,160,0.7,14,1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette tipo crêpes"" al lardo, preparato""",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,787,188,8.9,3.5,3.4,1,102,17.3,1.3,15.8,0.8,9.3,1.1,0,64,57,52,47,60,60,0.13,0.14,0.06,0.38,0.75,16,0.68,5.1,0.5,0.45,150,440,700,46,11,110,0.7,12,0.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette tipo crêpes"" al prosciutto, preparato""",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,653,155,5.1,2.1,1.6,0.7,101,17.3,1.3,15.8,0.8,9.7,1,0,67.4,56,51,46,60,60,0.16,0.15,0.08,0.35,1.08,15.8,0.69,10.6,0.5,0.43,180,410,620,47,13,130,0.7,13,0.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette tipo crêpes"" al zucchero con cannella, preparato""",Cibi/Altri cibi dolci,,per 100 g di parte edibile,744,177,5.3,2.2,1.6,0.7,106,24.5,6.5,17.9,0.8,7.2,0.8,0,62.3,53,52,52,6,6,0.07,0.13,0.04,0.38,0.2,16.1,0.67,0.3,0.5,0.43,130,310,470,48,9.8,94,0.7,14,0.6,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette tipo crêpes"" alla Nutella""",Cibi/Altri cibi dolci,,per 100 g di parte edibile,1080,258,12.3,4.7,5.1,1.5,84,29.1,14.4,14.4,1.4,7.2,0.6,0,50.4,42,42,41,6,6,0.08,0.15,0.05,0.35,0.26,16.1,0.66,0.3,0.4,1.46,180,260,400,70,20,110,0.8,12,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette tipo crêpes"" alle verdure, preparato""",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,572,136,5.1,1.8,1.9,0.7,79,16.2,2.6,13.4,1.4,5.8,0.6,0,71.7,140,89,39,609,609,0.07,0.11,0.1,0.28,0.36,23.9,0.56,19.9,0.4,0.6,160,240,360,43,11,79,0.7,11,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omelette tipo crêpes"", preparato""",Cibi/Altri cibi salati/saporiti,,per 100 g di parte edibile,692,165,5.6,2.3,1.7,0.8,112,20.4,1.4,18.8,0.9,7.6,0.8,0,65.7,56,55,54,7,7,0.07,0.14,0.04,0.4,0.21,16.9,0.7,0.3,0.5,0.45,130,330,500,50,10,99,0.7,14,0.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orzo perlato, secco","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",,per 100 g di parte edibile,1470,347,1.4,0.3,0.1,0.6,0,71,2.2,68.4,4.6,10.4,0,0,12.2,0,0,0,0,0,0.27,0.08,0.25,0,3.1,20,0.17,0,0,0.08,270,5,110,18,65,210,3,1,2.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orzotto, cotto","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",,per 100 g di parte edibile,571,135,2.1,0.3,1.3,0.3,0,24.7,1.6,21.8,1.7,3.5,0.8,0,68.2,0,0,0,1,1,0.05,0.02,0.06,0,0.81,5.2,0.06,0.4,0,0.43,57,340,540,13,23,71,1,0.7,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancetta,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1930,467,43,14.4,18.9,6.6,80,0.4,tr.,tr.,0,19.5,4.6,0,33,0,0,0,0,0,0.45,0.14,0.3,tr.,tr.,3,tr.,0,1.4,0.1,190,1850,tr.,13,tr.,84,0.8,tr.,1.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancetta (speck),Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1660,400,34.3,13.1,15.5,2.3,62,0.6,0.6,tr.,0,22.1,3.8,0,39,4,4,4,0,0,0.56,0.14,0.3,0.5,6.9,tr.,1.1,8.3,1.7,tr.,400,1520,2370,tr.,22,210,tr.,tr.,2.3,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancetta affumicata da cuocere,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1330,322,27.6,10.6,12.9,2.2,49,0.6,0.6,0,0,17.8,2.8,0,50.5,6,6,6,0,0,0.62,0.14,0.22,0.35,4.08,3,0.6,24.3,0.6,0.29,270,1130,1690,10,16,150,0.4,1.1,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pane (in media),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,1110,264,4.6,2.3,1,0.7,14,44.6,1.3,42.9,3.7,9.2,1.6,0,38.7,34,33,31,14,14,0.17,0.1,0.12,0.03,1.15,21.8,0.39,0.1,0.1,0.39,170,620,970,29,36,130,1.5,2.7,1.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pane alle noci,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,1390,332,17.9,3.9,3.8,8.9,23,30.8,2,27.9,5.8,9.2,1.2,0,37.2,41,39,38,21,21,0.23,0.1,0.18,0.05,1.42,43.4,0.67,0.1,0.1,1.24,240,490,750,31,67,210,2.1,3.7,1.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pane bianco,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,1030,242,0.8,0.2,0.1,0.4,0,48.9,0.2,48.2,2.5,8.5,1.7,0,40,0,0,0,0,0,0.11,0.04,0.06,0,0.68,16.7,0.24,0,0,0.14,130,680,1060,8.3,15,61,0.6,0.9,0.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pane bigio,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,991,234,1.2,0.2,0.1,0.6,0,44.3,0.5,43.5,4.1,9.5,1.6,0,41.8,0,0,0,0,0,0.23,0.07,0.08,0,1.12,20.5,0.33,0,0,0.27,150,630,970,20,38,150,1.6,1.3,1.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pane bigio (con sale iodato),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,991,234,1.2,0.2,0.1,0.6,0,44.3,0.5,43.5,4.1,9.5,1.6,0,41.8,0,0,0,0,0,0.23,0.07,0.08,0,1.12,20.5,0.33,0,0,0.27,150,620,970,20,38,150,1.6,40,1.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pane contadino,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,1020,241,2,0.7,0.4,0.6,4,44.3,2.4,41.7,4.4,9.2,1.8,0,40.8,11,10,10,5,5,0.2,0.13,0.11,0.03,1.09,25,0.4,0.2,0,0.33,200,710,1090,46,38,170,1.5,1.3,1.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pane croccante (Knäckebrot), integrale","Pane, fiocchi e cereali per la prima colazione/Pane croccante, fette biscottate, cracker e gallette",,per 100 g di parte edibile,1400,332,1.7,0.3,0.2,1.1,0,61.1,3.3,57.6,12.4,12,1.5,0,13.7,0,0,0,2,2,0.41,0.19,0.4,0,3.4,59.1,1.13,0,0,1.21,380,600,950,26,100,340,4,41,3.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pane croccante (Knäckebrot), integrale, con semi di lino","Pane, fiocchi e cereali per la prima colazione/Pane croccante, fette biscottate, cracker e gallette",,per 100 g di parte edibile,1480,352,5.7,0.7,1,3.7,0,55.2,3.1,51.8,13.8,12.9,1.5,0,13.4,0,0,0,3,3,0.42,0.17,0.38,0,3.06,60.3,1.1,0,0,1.14,410,600,950,47,130,360,4.3,41,3.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
